# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
heroWindow::heroWindow,window.obj,param,sp+0x44,T_UINT4(0075),winType
heroWindow::~heroWindow,window.obj,param,sp+0x18,0x1708,this
heroWindow::Open,window.obj,param,sp+0x24,0x1708,this
heroWindow::Open,window.obj,param,sp+0x28,T_INT4(0074),newPriority
heroWindow::Open,window.obj,param,sp+0x2c,T_UCHAR(0020),update
heroWindow::Close,window.obj,param,sp+0x1c,0x1708,this
heroWindow::Close,window.obj,param,sp+0x20,T_UCHAR(0020),update
heroWindow::handle_message,window.obj,param,sp+0x0,0x1708,this
heroWindow::handle_message,window.obj,param,sp+0x4,0x1017,msg
heroWindow::AddWidget,window.obj,param,sp+0x24,0x1708,this
heroWindow::AddWidget,window.obj,param,sp+0x28,0x1710,newWidget
heroWindow::AddWidget,window.obj,param,sp+0x2c,T_INT4(0074),newPriority
heroWindow::RemoveWidget,window.obj,param,sp+0x1c,0x1708,this
heroWindow::RemoveWidget,window.obj,param,sp+0x20,0x1710,killWidget
heroWindow::RemoveAndDeleteWidget,window.obj,param,sp+0x20,0x1708,this
heroWindow::RemoveAndDeleteWidget,window.obj,param,sp+0x24,T_INT4(0074),inID
heroWindow::BroadcastMessage,window.obj,param,sp+0x20,0x1708,this
